"ID","abstract","annote","note","number","journal","volume","pages","publisher","editor","booktitel","year","title","author","label","type"
51,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Dtv                      ","                                                                                ","                                                                                ","    ","Schmetterling und Taucherglocke                                                 ","Jean-Dominique Bauby                                                            ","          "," BOOK               "
52,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Dtv                      ","                                                                                ","                                                                                ","    ","Die Jagd nach der Wahrheit                                                      ","Eirik Newth                                                                     ","          "," BOOK               "
53,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","moses. Verlag            ","                                                                                ","                                                                                ","    ","Internet- Guide fr Schler. Das Wissen der Welt und wie du es findest.           ","Gnter W. Kienitz, Bettina Grabis, Ralf. Butschkow                               ","          "," BOOK               "
54,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Droemer Knaur            ","                                                                                ","                                                                                ","    ","Knaurs Laenderlexikon                                                           ","Christoph Schneider, Ingo D?mgen                                                ","          "," BOOK               "
55,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Fr. Schneider, Mchn.     ","                                                                                ","                                                                                ","    ","Das Raetsel der Bananenfresser. Eine spannende Detektivgeschichte.              ","Jo Pestum                                                                       ","          "," BOOK               "
56,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Rowohlt Tb.              ","                                                                                ","                                                                                ","    ","Das Top Quark, Picasso und Mercedes-Benz oder Was ist Physik?                   ","Hans Gramann                                                                    ","          "," BOOK               "
57,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Diana                    ","                                                                                ","                                                                                ","    ","Fallende Blaetter                                                               ","Adeline Yen Mah                                                                 ","          "," BOOK               "
58,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Heyne, Mchn.             ","                                                                                ","                                                                                ","    ","Star Trek Erinnerungen, Die Filme                                               ","William Shatner, Chris Kreski                                                   ","          "," BOOK               "
59,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Suhrkamp                 ","                                                                                ","                                                                                ","    ","Stadt ohne Namen                                                                ","Howard Ph. Lovecraft                                                            ","          "," BOOK               "
60,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","DTV, Mchn.               ","                                                                                ","                                                                                ","    ","Jazz erzaehlt. Von New Orleans bis West Coast.                                  ","Nat Shapiro, Nat Hentoff                                                        ","          "," BOOK               "
61,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","                         ","                                                                                ","                                                                                ","    ","Du gehoerst dazu, Patricia                                                      ","Manfred Mai                                                                     ","          "," BOOK               "
62,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","                         ","                                                                                ","                                                                                ","    ","Ein Opfer fuer Apollo                                                           ","Joan Smith                                                                      ","          "," BOOK               "
63,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Suhrkamp                 ","                                                                                ","                                                                                ","    ","Transit                                                                         ","Hella S. Haasse                                                                 ","          "," BOOK               "
64,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Carl Hanser              ","                                                                                ","                                                                                ","    ","Piano, piano!                                                                   ","Dieter Hildebrandt                                                              ","          "," BOOK               "
65,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Carl Hanser              ","                                                                                ","                                                                                ","    ","Wo warst du, Robert?                                                            ","Hans M. Enzensberger                                                            ","          "," BOOK               "
66,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Carl Hanser              ","                                                                                ","                                                                                ","    ","Die Pharaonen                                                                   ","Christian Jacq                                                                  ","          "," BOOK               "
67,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Dtv                      ","                                                                                ","                                                                                ","    ","dtv - Atlas Musik I.                                                            ","Ulrich Michels                                                                  ","          "," BOOK               "
