"Upload ID";"File ID";"is compressed";"first meas.";"second meas.";
51458342953;j4.jpg;1;1019682;2515;
51458342953;j5.jpg;1;1297371;2515;
51458342953;p2.pdf;0;388331478;3911;
51458342953;p5.pdf;0;373513114;3911;
51458342953;p3.pdf;0;381365509;3911;
51458342953;p6.pdf;0;406255264;3911;
51458342953;p5.pdf;0;380199998;3632;
51458342953;p3.pdf;0;374486701;4191;
51458342953;p5.pdf;0;365261506;3632;
51458342953;p7.pdf;0;396571911;3911;
51458342953;j8.jpg;1;1482591;2235;
51458342953;p4.pdf;0;388007973;3911;
51458342953;p9.pdf;0;367941735;3911;
51458342953;p0.pdf;0;378428544;3632;
51458342953;j3.jpg;1;1888788;2235;
51458342953;p1.pdf;0;405285309;3632;
51458342953;j6.jpg;1;522413;2514;
51458342953;p9.pdf;0;383300671;4749;
51458342953;p9.pdf;0;375285685;5588;
51458342953;p9.pdf;0;369402815;3632;
51458342953;p8.pdf;0;422631927;3911;
51458342953;j6.jpg;1;527441;2235;
51458342953;p3.pdf;0;391902323;3911;
51458342953;j0.jpg;1;2130439;2514;
51458342953;j2.jpg;1;2280457;2235;
51458342953;p2.pdf;0;371042689;3632;
51458342953;j7.jpg;1;1201829;2514;
51458342953;j8.jpg;1;1485384;2514;
51458342953;p8.pdf;0;374425800;3911;
51458342953;j1.jpg;1;1516394;2235;
51458342953;p6.pdf;0;408344915;3911;
51458342953;j8.jpg;1;1490971;2515;
51458342953;j7.jpg;1;1198477;2234;
51458342953;p7.pdf;0;399925130;3911;
51458342953;p8.pdf;0;372873089;3911;
51458342953;p6.pdf;0;370933177;3911;
51458342953;p8.pdf;0;404083480;3632;
51458342953;j5.jpg;1;1305473;2235;
51458342953;p4.pdf;0;389231034;3911;
51458342953;p4.pdf;0;376242791;3911;
51458342953;j5.jpg;1;1313575;2235;
51458342953;j2.jpg;1;2273473;11454;
51458342953;j6.jpg;1;573537;2514;
51458342953;j6.jpg;1;520457;2514;
51458342953;p7.pdf;0;376521877;3352;
51458342953;j6.jpg;1;517664;2514;
51458342953;j4.jpg;1;1033092;2514;
51458342953;p9.pdf;0;406610058;3912;
51458342953;p7.pdf;0;386927668;3911;
51458342953;p1.pdf;0;371673774;3632;
51458342953;p8.pdf;0;367560402;4191;
51458342953;j0.jpg;1;1898566;2514;
51458342953;j8.jpg;1;1706083;2794;
51458342953;j5.jpg;1;1283403;2515;
51458342953;j7.jpg;1;1182832;2514;
51458342953;j1.jpg;1;1512204;2514;
51458342953;p7.pdf;0;408018338;3911;
51458342953;j0.jpg;1;1883759;2514;
51458342953;p4.pdf;0;385331376;3632;
51458342953;j5.jpg;1;1307708;2514;
51458342953;j8.jpg;1;1482870;2235;
51458342953;j3.jpg;1;2352254;3073;
51458342953;j7.jpg;1;1200432;2515;
51458342953;p3.pdf;0;381710804;3911;
51458342953;j9.jpg;1;1509410;2514;
51458342953;p0.pdf;0;371392174;3911;
51458342953;j3.jpg;1;1882083;2235;
51458342953;j2.jpg;1;2270121;2235;
51458342953;p0.pdf;0;397669256;3912;
51458342953;p8.pdf;0;389465700;4190;
51458342953;p2.pdf;0;366763653;3911;
51458342953;j1.jpg;1;1647695;2794;
51458342953;j6.jpg;1;498387;2235;
51458342953;p9.pdf;0;383847667;3632;
51458342953;p0.pdf;0;367593088;4190;
51458342953;j8.jpg;1;1515556;2514;
51458342953;j9.jpg;1;1494045;2514;
51458342953;p1.pdf;0;414894631;3911;
51458342953;j8.jpg;1;1513600;2794;
51458342953;p0.pdf;0;354219880;4190;
