Event Time;State
23887.29999999998;Idle
23887.29999999998;Busy 1 Job(s)
23887.29999999998;Idle
23887.29999999998;Busy 1 Job(s)
23900.519999999982;Idle
23943.299999999985;Busy 1 Job(s)
23943.299999999985;Idle
23943.299999999985;Busy 1 Job(s)
23963.459999999985;Idle
23970.779999999984;Busy 1 Job(s)
23970.779999999984;Idle
23970.779999999984;Busy 1 Job(s)
24002.279999999984;Idle
24002.279999999984;Busy 1 Job(s)
24033.779999999984;Idle
24033.779999999984;Busy 1 Job(s)
24042.52999999998;Idle
24042.52999999998;Busy 1 Job(s)
24065.279999999984;Idle
24065.279999999984;Busy 1 Job(s)
24096.779999999984;Idle
24096.779999999984;Busy 1 Job(s)
24128.279999999984;Idle
24128.279999999984;Busy 1 Job(s)
24156.809999999983;Idle
24156.809999999983;Busy 1 Job(s)
24181.879999999983;Idle
24228.55999999998;Busy 1 Job(s)
24228.55999999998;Idle
24228.55999999998;Busy 1 Job(s)
24260.05999999998;Idle
24260.05999999998;Busy 1 Job(s)
24291.55999999998;Idle
24291.55999999998;Busy 1 Job(s)
24323.05999999998;Idle
24323.05999999998;Busy 1 Job(s)
24339.469999999983;Idle
24339.469999999983;Busy 1 Job(s)
24354.55999999998;Idle
24354.55999999998;Busy 1 Job(s)
24386.05999999998;Idle
24386.05999999998;Busy 1 Job(s)
24411.21999999998;Idle
24411.21999999998;Busy 1 Job(s)
24411.21999999998;Idle
24411.21999999998;Busy 1 Job(s)
24411.21999999998;Idle
24411.21999999998;Busy 1 Job(s)
24427.90999999998;Idle
24427.90999999998;Busy 1 Job(s)
24431.37999999998;Idle
24431.37999999998;Busy 1 Job(s)
24447.409999999978;Idle
24539.20999999998;Busy 1 Job(s)
24539.20999999998;Idle
24539.20999999998;Busy 1 Job(s)
24539.20999999998;Idle
24539.20999999998;Busy 1 Job(s)
24552.429999999982;Idle
24566.44999999998;Busy 1 Job(s)
24566.44999999998;Idle
24566.44999999998;Busy 1 Job(s)
24588.55999999998;Idle
24677.749999999978;Busy 1 Job(s)
