Event Time;State
39939.16000000008;Busy 1 Job(s)
39959.990000000136;Idle
40020.72000000014;Busy 1 Job(s)
40050.46000000009;Busy 2 Job(s)
40065.44000000014;Busy 1 Job(s)
40072.57000000009;Idle
40183.87000000009;Busy 1 Job(s)
40204.66000000014;Idle
40233.19000000014;Busy 1 Job(s)
40289.76000000014;Idle
40346.70000000014;Busy 1 Job(s)
40369.90000000009;Busy 2 Job(s)
40385.93000000009;Busy 1 Job(s)
40403.27000000014;Idle
40483.070000000145;Busy 1 Job(s)
40527.79000000015;Idle
40571.96000000009;Busy 1 Job(s)
40615.860000000146;Idle
40676.59000000015;Busy 1 Job(s)
40683.26000000009;Busy 2 Job(s)
40705.37000000009;Busy 1 Job(s)
40721.31000000015;Idle
40860.60000000009;Busy 1 Job(s)
40872.470000000154;Busy 2 Job(s)
40894.580000000155;Busy 1 Job(s)
40912.2600000001;Idle
41023.5600000001;Busy 1 Job(s)
41045.74000000016;Busy 2 Job(s)
41058.96000000016;Busy 1 Job(s)
41079.12000000016;Idle
41233.65000000016;Busy 1 Job(s)
41237.7200000001;Busy 2 Job(s)
41262.7900000001;Busy 1 Job(s)
41285.310000000165;Idle
41342.25000000017;Busy 1 Job(s)
41389.780000000166;Idle
41448.8200000001;Busy 1 Job(s)
41477.850000000166;Idle
41538.58000000017;Busy 1 Job(s)
41566.06000000017;Busy 2 Job(s)
41588.17000000017;Busy 1 Job(s)
41596.91000000017;Idle
41656.94000000017;Busy 1 Job(s)
41686.120000000104;Busy 2 Job(s)
41701.66000000017;Busy 1 Job(s)
41711.190000000104;Idle
41856.19000000017;Busy 1 Job(s)
41893.85000000011;Busy 2 Job(s)
41912.76000000017;Busy 1 Job(s)
41932.92000000017;Idle
42036.65000000011;Busy 1 Job(s)
42052.58000000018;Busy 2 Job(s)
42065.80000000018;Busy 1 Job(s)
42085.96000000018;Idle
42165.760000000184;Busy 1 Job(s)
42210.480000000185;Idle
42250.810000000114;Busy 1 Job(s)
42293.64000000019;Idle
42310.44000000019;Busy 1 Job(s)
42355.16000000019;Idle
42436.84000000011;Busy 1 Job(s)
42474.73000000019;Idle
42531.390000000196;Busy 1 Job(s)
42583.0500000002;Idle
42619.50000000012;Busy 1 Job(s)
42666.2100000002;Idle
42754.370000000206;Busy 1 Job(s)
42805.530000000115;Busy 2 Job(s)
42806.03000000021;Busy 1 Job(s)
42831.10000000021;Idle
42960.060000000114;Busy 1 Job(s)
43013.67000000021;Idle
43042.20000000021;Busy 1 Job(s)
43098.77000000021;Idle
43146.09000000011;Busy 1 Job(s)
43186.84000000021;Idle
